country,device,source,promo_code,email,event_time,user_id,product_id,price,quantity,line_amount,event_date
CA,android,direct,SUMMER25,user1006@example.com,2025-08-10T13:39:00,1006,203,113.17,1,113.17,2025-08-10
US,android,ads,SUMMER25,user1000@example.com,2025-08-10T15:54:00,1000,203,32.85,2,65.7,2025-08-10
GB,web,direct,SUMMER25,user1003@example.com,2025-08-10T09:07:00,1003,205,65.57,3,196.70999999999998,2025-08-10
DE,web,ads,SUMMER25,user1006@example.com,2025-08-10T12:10:00,1006,200,28.79,2,57.58,2025-08-10
GB,ios,direct,SUMMER25,user1003@example.com,2025-08-10T18:12:00,1003,202,9.22,1,9.22,2025-08-10
US,ios,seo,SUMMER25,user1000@example.com,2025-08-10T12:59:00,1000,201,100.1,2,200.2,2025-08-10
CA,android,seo,SUMMER25,user1000@example.com,2025-08-10T12:44:00,1000,204,95.87,2,191.74,2025-08-10
IN,web,ads,SUMMER25,user1009@example.com,2025-08-10T17:24:00,1009,202,5.48,1,5.48,2025-08-10
IN,web,ads,SUMMER25,user1009@example.com,2025-08-10T16:39:00,1009,201,56.72,3,170.16,2025-08-10
US,ios,direct,SUMMER25,user1002@example.com,2025-08-10T16:09:00,1002,201,5.71,3,17.13,2025-08-10
US,ios,seo,SUMMER25,user1004@example.com,2025-08-10T08:11:00,1004,201,90.09,3,270.27,2025-08-10
DE,ios,direct,SUMMER25,user1007@example.com,2025-08-10T09:52:00,1007,204,63.62,1,63.62,2025-08-10
US,android,ads,SUMMER25,user1007@example.com,2025-08-10T13:26:00,1007,203,32.31,1,32.31,2025-08-10
GB,web,email,SUMMER25,user1003@example.com,2025-08-10T13:47:00,1003,203,99.38,1,99.38,2025-08-10
IN,web,email,SUMMER25,user1008@example.com,2025-08-10T16:32:00,1008,205,90.25,1,90.25,2025-08-10
IN,ios,email,,user1000@example.com,2025-08-10T19:14:00,1000,203,22.05,1,22.05,2025-08-10
US,ios,ads,,user1008@example.com,2025-08-10T14:57:00,1008,203,25.35,2,50.7,2025-08-10
US,web,direct,,user1007@example.com,2025-08-10T10:24:00,1007,201,70.94,2,141.88,2025-08-10
CA,ios,ads,,user1006@example.com,2025-08-10T17:00:00,1006,205,105.59,2,211.18,2025-08-10
US,ios,seo,,user1005@example.com,2025-08-10T15:21:00,1005,203,66.87,2,133.74,2025-08-10
IN,web,seo,,user1007@example.com,2025-08-10T17:45:00,1007,203,21.87,3,65.61,2025-08-10
US,web,email,,user1006@example.com,2025-08-10T08:55:00,1006,200,85.04,2,170.08,2025-08-10
GB,android,direct,,user1009@example.com,2025-08-10T09:59:00,1009,202,84.24,1,84.24,2025-08-10
,android,direct,,user1009@example.com,2025-08-10T10:55:00,1009,200,50.2,1,50.2,2025-08-10
US,web,email,,user1008@example.com,2025-08-10T11:35:00,1008,205,115.24,2,230.48,2025-08-10
IN,android,ads,,user1007@example.com,2025-08-10T12:46:00,1007,203,19.71,1,19.71,2025-08-10
CA,android,ads,,user1004@example.com,2025-08-10T17:28:00,1004,201,49.5,1,49.5,2025-08-10
US,web,ads,,user1003@example.com,2025-08-10T18:47:00,1003,203,75.06,2,150.12,2025-08-10
IN,ios,ads,,user1003@example.com,2025-08-10T18:22:00,1003,202,36.3,1,36.3,2025-08-10
US,android,email,,user1007@example.com,2025-08-10T15:06:00,1007,204,66.92,1,66.92,2025-08-10
US,ios,email,,user1000@example.com,2025-08-10T15:36:00,1000,201,63.85,2,127.7,2025-08-10
GB,android,seo,,user1007@example.com,2025-08-10T09:36:00,1007,204,79.8,3,239.39999999999998,2025-08-10
CA,ios,ads,,user1003@example.com,2025-08-10T09:17:00,1003,204,27.83,1,27.83,2025-08-10
DE,web,ads,,user1007@example.com,2025-08-10T11:35:00,1007,204,117.48,3,352.44,2025-08-10
US,android,email,,user1009@example.com,2025-08-10T08:22:00,1009,200,26.0,1,26.0,2025-08-10
CA,web,direct,,user1005@example.com,2025-08-10T14:25:00,1005,201,10.95,2,21.9,2025-08-10
